"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.174578200E-2,3.830722719E-2,3.830722570E-1,9.485827446E0,9.493636507E0
2.181630400E-2,3.351882473E-2,2.633621991E-1,9.610325813E0,9.613992168E0
3.143687800E-2,-3.351882398E-1,2.777273953E-1,9.758766174E0,9.768469732E0
4.131469100E-2,-3.208230138E-1,1.963245422E-1,9.730035782E0,9.737302863E0
5.130932800E-2,5.746084079E-2,1.388636976E-1,9.897629738E0,9.898770596E0
6.104990200E-2,3.830722719E-2,1.292868853E-1,9.873687744E0,9.874608459E0
7.102938200E-2,7.661445439E-2,1.771709323E-1,9.730035782E0,9.731950248E0
8.087683100E-2,2.011129409E-1,1.580173075E-1,9.648633003E0,9.652022312E0
9.092193600E-2,9.576806799E-3,2.154781520E-1,9.667786598E0,9.670192359E0
1.005276140E-1,-2.729389966E-1,1.149216816E-1,9.557653427E0,9.562240413E0
1.104106880E-1,-2.729389966E-1,1.005564705E-1,9.476250648E0,9.480713773E0
1.204801160E-1,-1.340752989E-1,1.436521020E-2,9.452308655E0,9.453270410E0
1.301629810E-1,8.619125932E-2,-1.101332754E-1,9.524134636E0,9.525161355E0
1.399963680E-1,6.224924326E-2,2.873042040E-2,9.605537415E0,9.605782083E0
1.499014730E-1,-1.149216816E-1,3.351882473E-2,9.691728592E0,9.692467880E0
1.598588180E-1,-1.963245422E-1,3.351882473E-2,9.725247383E0,9.727286544E0
1.697121000E-1,-8.619125932E-2,3.830722719E-2,9.500192642E0,9.500660852E0
1.796238200E-1,1.149216816E-1,-1.053448766E-1,9.323021889E0,9.324325266E0
1.894951230E-1,3.830722719E-2,4.788403399E-3,9.471462250E0,9.471540926E0
1.993964260E-1,-1.723825186E-1,1.340752989E-1,9.849745750E0,9.852166425E0
2.092354890E-1,-1.053448766E-1,4.788403213E-2,9.758766174E0,9.759452222E0
2.189704380E-1,1.436521020E-2,-1.915361360E-2,9.399636269E0,9.399666760E0
2.289885120E-1,4.309562966E-2,-4.309562966E-2,9.615114212E0,9.615307368E0
2.388462730E-1,1.244984865E-1,9.576806799E-3,9.811438560E0,9.812233090E0
2.485876290E-1,2.250549644E-1,-4.309562966E-2,9.739612579E0,9.742307743E0
2.584420050E-1,5.746084079E-2,-2.873042040E-2,9.557653427E0,9.557869335E0
2.683136200E-1,-1.867477298E-1,-2.873042040E-2,9.696516991E0,9.698357691E0
2.783284650E-1,-1.005564705E-1,4.309562966E-2,9.821015358E0,9.821624687E0
2.881709660E-1,1.197100878E-1,-8.140286058E-2,9.859322548E0,9.860385288E0
2.980760190E-1,2.585737705E-1,-6.703764945E-2,9.849745750E0,9.853367231E0
3.079228950E-1,2.346317619E-1,1.244984865E-1,9.744400978E0,9.748020433E0
3.178156560E-1,-1.149216816E-1,-6.224924326E-2,9.864110947E0,9.864976773E0
3.276598760E-1,-2.681505978E-1,-1.101332754E-1,1.006522369E1,1.006939731E1
3.375230020E-1,-1.292868853E-1,-5.267243832E-2,1.018972206E1,1.019067835E1
3.472925860E-1,1.963245422E-1,-5.267243832E-2,1.003170490E1,1.003376405E1
3.573412330E-1,3.495534360E-1,-2.394201607E-2,1.000776291E1,1.001389431E1
3.670552970E-1,2.346317619E-1,1.867477298E-1,9.921571732E0,9.926102579E0
3.770099330E-1,1.197100878E-1,2.873042040E-2,9.773131371E0,9.773906728E0
3.867476420E-1,-9.576806799E-3,-4.788403213E-2,9.706093788E0,9.706216628E0
3.966270180E-1,-4.118026793E-1,-7.182604820E-2,9.490615845E0,9.499817342E0
4.066430610E-1,-5.985504389E-1,5.746084079E-2,9.447520256E0,9.466636328E0
4.163725930E-1,-8.092401624E-1,4.309562966E-2,9.021351814E0,9.057677154E0
4.262148860E-1,-6.751648784E-1,1.053448766E-1,9.174580574E0,9.199993145E0
4.362656680E-1,-2.729389966E-1,-7.661445439E-2,9.337387085E0,9.341689518E0
4.461223360E-1,3.734954596E-1,-3.160346150E-1,9.600749016E0,9.613207498E0
4.559378060E-1,4.979939461E-1,-1.723825186E-1,9.792284966E0,9.806454943E0
4.658680670E-1,7.613561153E-1,-7.182604820E-2,9.955090523E0,9.984420335E0
4.757135370E-1,5.027823448E-1,1.819593310E-1,1.026154804E1,1.027546921E1
4.855826520E-1,1.819593310E-1,1.867477298E-1,1.029027843E1,1.029358121E1
4.953451530E-1,-6.703764945E-2,1.771709323E-1,9.935936928E0,9.937742511E0
5.052034350E-1,-2.873041928E-1,-8.140286058E-2,9.519346237E0,9.524028712E0
5.151976550E-1,-6.033388376E-1,-4.788403399E-3,9.514557838E0,9.533669364E0
5.250608330E-1,-6.655880809E-1,5.267243832E-2,9.543288231E0,9.566615501E0
5.349153130E-1,-5.602431893E-1,1.723825186E-1,9.500192642E0,9.518258685E0
5.446691690E-1,-3.303998411E-1,2.537853718E-1,9.591172218E0,9.600216435E0
5.545500550E-1,-8.140286058E-2,2.681505978E-1,9.615114212E0,9.619197081E0
5.645478160E-1,-2.873042040E-2,3.878606856E-1,9.619902611E0,9.627761297E0
5.744104210E-1,4.309562966E-2,2.920926213E-1,9.610325813E0,9.614860247E0
5.841403180E-1,9.576806426E-2,1.388636976E-1,9.720458984E0,9.721922522E0
5.941420900E-1,-1.675941199E-1,2.346317619E-1,9.825803757E0,9.830033536E0
6.040510490E-1,-2.968810201E-1,3.974374831E-1,9.806650162E0,9.819189492E0
6.139074570E-1,-1.675941199E-1,3.303998411E-1,9.844957352E0,9.851925553E0
6.237583430E-1,-1.244984865E-1,2.825157940E-1,9.744400978E0,9.749290511E0
6.335462610E-1,-9.576806426E-2,4.644751251E-1,9.825803757E0,9.837241896E0
6.433777200E-1,-5.267243832E-2,4.932055473E-1,9.586383820E0,9.599207302E0
6.533626690E-1,-1.915361360E-2,4.070142806E-1,9.490615845E0,9.499358747E0
6.632654300E-1,4.788403213E-2,4.070142806E-1,9.548076630E0,9.556867731E0
6.729921500E-1,7.661445439E-2,4.405331016E-1,9.605537415E0,9.615939279E0
6.828756410E-1,6.224924326E-2,5.698199868E-1,9.672574997E0,9.689544719E0
6.929595480E-1,1.101332754E-1,6.512228847E-1,9.600749016E0,9.623440250E0
7.027979340E-1,5.746084079E-2,4.357447028E-1,9.639056206E0,9.649071444E0
7.125968410E-1,-1.244984865E-1,3.974374831E-1,9.552865028E0,9.561939483E0
7.223440820E-1,-1.771709323E-1,4.213795066E-1,9.150638580E0,9.162048715E0
7.322645000E-1,-2.777273953E-1,3.112462163E-1,9.131484985E0,9.141007863E0
7.422564800E-1,-1.723825186E-1,2.729389966E-1,9.284713745E0,9.290324039E0
7.519573660E-1,-1.771709323E-1,2.442085743E-1,9.251194954E0,9.256113409E0
7.623882530E-1,-1.436521020E-2,1.723825186E-1,9.500192642E0,9.501767327E0
7.718680970E-1,8.140286058E-2,1.436520964E-1,9.682151794E0,9.683559558E0
7.815782030E-1,1.915361360E-2,1.771709323E-1,9.706093788E0,9.707729550E0
7.916144540E-1,3.830722719E-2,1.675941199E-1,9.648633003E0,9.650164458E0
