"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.766880000E-4,1.963245422E-1,2.202665508E-1,9.730035782E0,9.734508565E0
1.203768800E-2,1.867477298E-1,2.394201756E-1,9.763554573E0,9.768274906E0
2.121868800E-2,2.537853718E-1,2.106897533E-1,9.768342972E0,9.773910251E0
3.081768800E-2,3.734954596E-1,1.675941199E-1,9.777919769E0,9.786485665E0
4.058668800E-2,4.788403511E-1,1.675941199E-1,9.701305389E0,9.714561345E0
5.053668800E-2,4.501099288E-1,1.963245422E-1,9.672574997E0,9.685032233E0
6.043968800E-2,1.771709323E-1,1.149216816E-1,9.648633003E0,9.650943755E0
7.046918800E-2,-4.788403399E-3,1.292868853E-1,9.763554573E0,9.764411704E0
8.051393800E-2,-9.576806799E-3,1.436520964E-1,9.782708168E0,9.783767513E0
9.132431300E-2,5.746084079E-2,1.580173075E-1,9.677363396E0,9.678823973E0
1.008330000E-1,2.873042040E-2,1.915361285E-1,9.543288231E0,9.545253364E0
1.106398440E-1,-9.576806426E-2,2.250549644E-1,9.658209801E0,9.661306217E0
1.205192660E-1,-9.097966552E-2,2.681505978E-1,9.787496567E0,9.791591857E0
1.305664770E-1,1.580173075E-1,2.968810201E-1,9.868899345E0,9.874628201E0
1.404840820E-1,3.830722570E-1,3.591302633E-1,9.959878922E0,9.973710795E0
1.506013850E-1,3.830722570E-1,2.873041928E-1,1.003170490E1,1.004312657E1
1.604855360E-1,2.489969730E-1,2.442085743E-1,1.000297451E1,1.000905272E1
1.704166120E-1,1.675941199E-1,2.106897533E-1,9.859322548E0,9.862997469E0
1.803836500E-1,7.661445439E-2,1.963245422E-1,9.634267807E0,9.636572486E0
1.903831690E-1,-9.576806426E-2,1.867477298E-1,9.725247383E0,9.727511650E0
2.003839280E-1,-1.819593310E-1,2.442085743E-1,9.792284966E0,9.797019540E0
2.103718080E-1,-1.867477298E-1,2.777273953E-1,9.854534149E0,9.860215541E0
2.203857480E-1,-1.867477298E-1,2.968810201E-1,9.825803757E0,9.832061458E0
2.304282180E-1,1.867477298E-1,2.873041928E-1,9.773131371E0,9.779136731E0
2.404834530E-1,2.537853718E-1,2.394201756E-1,9.744400978E0,9.750645079E0
2.510560700E-1,2.537853718E-1,1.771709323E-1,9.715670586E0,9.720599338E0
2.610263790E-1,2.873041928E-1,1.340752989E-1,9.725247383E0,9.730413997E0
2.706810330E-1,1.292868853E-1,2.154781520E-1,9.787496567E0,9.790721882E0
2.805208600E-1,3.351882473E-2,2.298433632E-1,9.998186111E0,1.000088381E1
2.904372740E-1,2.442085743E-1,2.011129409E-1,9.907206535E0,9.912256331E0
