"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.232631000E-3,-9.193734527E-1,5.410895944E-1,1.017056847E1,1.022636242E1
1.521363100E-2,-8.571242094E-1,5.554547906E-1,1.017056847E1,1.022172465E1
2.515113100E-2,-7.757213712E-1,6.416460276E-1,1.007480049E1,1.012497201E1
3.518588100E-2,-5.889736414E-1,7.134721279E-1,9.883264542E0,9.926472205E0
4.520025600E-2,-4.740519226E-1,7.661445141E-1,9.749189377E0,9.790730113E0
5.538294300E-2,-3.112462163E-1,7.852981687E-1,9.634267807E0,9.671229684E0
6.600028700E-2,-2.011129409E-1,7.661445141E-1,9.648633003E0,9.681092018E0
7.555095900E-2,-2.346317619E-1,7.709329724E-1,9.720458984E0,9.753805031E0
8.533129500E-2,-2.777273953E-1,7.422025204E-1,9.758766174E0,9.790889353E0
9.523546300E-2,-4.309563041E-1,6.943184733E-1,9.825803757E0,9.859727225E0
1.052370470E-1,-6.560112834E-1,6.943184733E-1,9.969455719E0,1.001511239E1
1.153083390E-1,-7.422025204E-1,6.799532771E-1,9.979032516E0,1.002967053E1
1.253649850E-1,-7.900865674E-1,6.320692301E-1,9.935936928E0,9.987321509E0
1.353498080E-1,-7.230489254E-1,6.033388376E-1,9.897629738E0,9.942328295E0
1.452242190E-1,-6.416460276E-1,5.506663918E-1,9.883264542E0,9.919367979E0
1.552589250E-1,-5.746083856E-1,5.410895944E-1,9.821015358E0,9.852679605E0
1.653057780E-1,-4.884171486E-1,5.363011956E-1,9.787496567E0,9.814339475E0
1.753487040E-1,-4.070142806E-1,5.698199868E-1,9.672574997E0,9.697889591E0
1.853436670E-1,-3.639186621E-1,6.033388376E-1,9.619902611E0,9.645671609E0
1.953691490E-1,-3.591302633E-1,6.368576288E-1,9.572018623E0,9.599901182E0
2.053773900E-1,-3.974374831E-1,6.799532771E-1,9.595960617E0,9.628226897E0
2.153675100E-1,-4.788403511E-1,6.847416759E-1,9.658209801E0,9.694285729E0
2.253865700E-1,-5.698199868E-1,7.278373241E-1,9.801861763E0,9.845350985E0
2.353301000E-1,-7.278373241E-1,7.948749661E-1,1.003649330E1,1.009419492E1
2.453728650E-1,-8.044517636E-1,7.565677166E-1,1.005564690E1,1.011610458E1
2.553937480E-1,-7.900865674E-1,7.278373241E-1,9.916783333E0,9.974797022E0
2.653986890E-1,-6.991068721E-1,6.991068721E-1,9.806650162E0,9.856362830E0
2.754021600E-1,-6.368576288E-1,6.512228847E-1,9.806650162E0,9.848861167E0
2.852668950E-1,-5.458779931E-1,5.698199868E-1,9.844957352E0,9.876530912E0
2.952047630E-1,-4.740519226E-1,5.123591423E-1,9.897629738E0,9.922213037E0
