"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.649184227E0,1.223437071E0,9.649829865E0,1.008137846E1
9.978577000E-3,2.659958124E0,1.113303781E0,9.348160744E0,9.782787528E0
1.999319300E-2,2.668337822E0,1.036689281E0,9.159018517E0,9.595956002E0
3.032750000E-2,2.540247917E0,1.058237195E0,8.914810181E0,9.329874919E0
4.010903900E-2,2.522291422E0,1.024718285E0,8.831012726E0,9.241146430E0
5.018715400E-2,2.554613113E0,9.660604000E-1,8.834604263E0,9.247137576E0
6.007627000E-2,2.584540844E0,8.690952063E-1,8.856152534E0,9.266424098E0
7.008684700E-2,2.582146645E0,8.068459630E-1,8.779537201E0,9.186879512E0
8.021403900E-2,2.573766708E0,8.714894056E-1,8.558073997E0,8.979109054E0
9.006138500E-2,2.518700123E0,1.036689281E0,8.429984093E0,8.859074826E0
1.001894230E-1,2.434903145E0,1.136048675E0,8.400056839E0,8.819314872E0
1.102466930E-1,2.431311846E0,1.091755986E0,8.374917984E0,8.788768950E0
1.200820770E-1,2.449268341E0,1.030703783E0,8.331821442E0,8.745313844E0
1.301616930E-1,2.505532026E0,9.852139950E-1,8.259995461E0,8.687684522E0
1.401108470E-1,2.533065319E0,1.001973391E0,8.279149055E0,8.715771892E0
1.501603850E-1,2.527079821E0,1.058237195E0,8.291120529E0,8.732048901E0
1.601913080E-1,2.584540844E0,1.021126986E0,8.623914719E0,9.060599140E0
1.706047310E-1,2.610877037E0,9.660604000E-1,8.781931877E0,9.212615215E0
1.801462700E-1,2.505532026E0,1.064222693E0,8.857349396E0,9.266223556E0
1.900851160E-1,2.473210335E0,1.173158884E0,9.012971878E0,9.419486886E0
2.003864230E-1,2.439691544E0,1.280897856E0,9.111134529E0,9.518695633E0
2.105250390E-1,2.209848166E0,1.375468850E0,9.021351814E0,9.389362706E0
2.200970770E-1,1.860294700E0,1.461660147E0,8.924386978E0,9.232650199E0
2.300489230E-1,1.648407817E0,1.489193439E0,8.942343712E0,9.214144371E0
2.401893850E-1,1.625662923E0,1.461660147E0,8.945934296E0,9.209178614E0
2.501548850E-1,1.770512104E0,1.368286252E0,8.819042206E0,9.098484808E0
2.605022310E-1,1.903390408E0,1.198297977E0,8.974664688E0,9.252211592E0
2.704568850E-1,1.792060018E0,1.175553083E0,8.863334656E0,9.118777625E0
2.804188460E-1,1.647210717E0,1.268926859E0,8.754398346E0,8.997942483E0
2.902454620E-1,1.739387512E0,1.292868972E0,8.834604263E0,9.096549433E0
3.000222690E-1,1.909375906E0,1.312022567E0,8.875306129E0,9.172686545E0
3.100454620E-1,1.959654093E0,1.339555860E0,8.858546257E0,9.171068414E0
