"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.266281350E-1,-1.388636976E-1,1.532289088E-1,9.509769440E0,9.512017505E0
6.364962090E-1,-7.182604820E-2,1.244984865E-1,9.629479408E0,9.630552037E0
6.464993870E-1,1.675941199E-1,8.619125932E-2,9.892841339E0,9.894636248E0
6.562650130E-1,2.250549644E-1,-9.576806799E-3,1.000776291E1,1.001029769E1
6.659804830E-1,1.484405100E-1,7.182604820E-2,9.926360130E0,9.927729801E0
6.759829840E-1,-2.394201607E-2,3.830722719E-2,9.830592155E0,9.830695946E0
6.857286100E-1,4.788403399E-3,1.149216816E-1,9.572018623E0,9.572709671E0
6.956112670E-1,-5.267243832E-2,1.915361285E-1,9.461885452E0,9.463970456E0
7.055789760E-1,7.182604820E-2,1.197100878E-1,9.428366661E0,9.429400160E0
7.154456440E-1,-3.351882473E-2,-7.661445439E-2,9.572018623E0,9.572383915E0
7.253526760E-1,0.000000000E0,-1.771709323E-1,9.591172218E0,9.592808455E0
7.351714790E-1,2.394201607E-2,-1.484405100E-1,9.615114212E0,9.616289779E0
7.449503340E-1,-1.101332754E-1,-1.005564705E-1,9.686940193E0,9.688088111E0
7.548357520E-1,3.351882473E-2,2.394201607E-2,9.677363396E0,9.677451060E0
7.646967420E-1,8.619125932E-2,5.267243832E-2,9.691728592E0,9.692254971E0
7.747261180E-1,2.873042040E-2,-9.576806799E-3,9.787496567E0,9.787543420E0
7.844367440E-1,-3.351882473E-2,3.351882473E-2,9.615114212E0,9.615231060E0
7.944708080E-1,-1.436521020E-2,-1.915361360E-2,9.615114212E0,9.615144020E0
8.043422150E-1,4.788403213E-2,-2.873042040E-2,9.806650162E0,9.806809150E0
8.142195080E-1,1.005564705E-1,9.576806799E-3,9.921571732E0,9.922085917E0
8.241218530E-1,1.340752989E-1,-9.576806799E-3,9.825803757E0,9.826723125E0
8.337900310E-1,-7.661445439E-2,1.436521020E-2,9.840168953E0,9.840477689E0
8.438242500E-1,-2.585737705E-1,-9.576806799E-3,9.773131371E0,9.776556086E0
8.535259700E-1,-2.059013397E-1,-2.777273953E-1,9.768342972E0,9.774459181E0
8.635886270E-1,-1.340752989E-1,-3.878606856E-1,1.006043530E1,1.006880184E1
8.734461280E-1,-1.005564705E-1,-1.292868853E-1,9.911994934E0,9.913348086E0
8.832491500E-1,2.394201607E-2,-6.703764945E-2,9.706093788E0,9.706354820E0
8.931883180E-1,-1.915361360E-2,1.244984865E-1,9.777919769E0,9.778731091E0
9.030460790E-1,-1.005564705E-1,1.819593310E-1,9.490615845E0,9.492892600E0
9.130145180E-1,0.000000000E0,4.309562966E-2,9.461885452E0,9.461983595E0
9.228749870E-1,1.915361360E-2,6.224924326E-2,9.605537415E0,9.605758213E0
9.325434260E-1,9.097966552E-2,8.140286058E-2,9.993397713E0,9.994143363E0
9.424998850E-1,1.436521020E-2,1.484405100E-1,1.015620327E1,1.015729815E1
9.524381670E-1,-2.873042040E-2,1.005564705E-1,9.868899345E0,9.869453446E0
9.622579600E-1,-8.619125932E-2,2.154781520E-1,9.562441826E0,9.565257625E0
9.720134820E-1,-1.149216816E-1,8.140286058E-2,9.270348549E0,9.271418211E0
9.820708270E-1,-2.633621991E-1,3.830722719E-2,9.356540680E0,9.360324812E0
9.916961920E-1,1.101332754E-1,-1.580173075E-1,9.543288231E0,9.545231745E0
1.001659318E0,3.543418646E-1,9.097966552E-2,1.000297451E1,1.000966206E1
1.011652288E0,4.836287498E-1,2.777273953E-1,1.008916569E1,1.010456795E1
1.021394581E0,2.585737705E-1,3.830722570E-1,9.959878922E0,9.970596415E0
1.031244113E0,1.915361360E-2,3.734954596E-1,9.662998199E0,9.670232672E0
1.041224114E0,-2.154781520E-1,2.346317619E-1,9.390059471E0,9.395461658E0
1.050923906E0,-3.591302633E-1,1.484405100E-1,9.279925346E0,9.288058116E0
1.060789116E0,-2.825157940E-1,7.661445439E-2,9.409213066E0,9.413765212E0
1.070670367E0,-1.388636976E-1,1.340752989E-1,9.634267807E0,9.636201300E0
1.080658076E0,-1.292868853E-1,3.734954596E-1,9.639056206E0,9.647155980E0
1.090511827E0,2.873042040E-2,4.261679053E-1,9.615114212E0,9.624596918E0
1.100320265E0,1.436521020E-2,3.639186621E-1,9.911994934E0,9.918683719E0
1.110260944E0,4.788403399E-3,3.256114423E-1,9.959878922E0,9.965201146E0
1.120157142E0,-9.097966552E-2,1.915361285E-1,9.739612579E0,9.741920580E0
1.129920373E0,-1.388636976E-1,2.537853718E-1,9.452308655E0,9.456734587E0
1.139843811E0,-4.309562966E-2,2.968810201E-1,9.160215378E0,9.165126368E0
1.149740375E0,-8.140286058E-2,2.873041928E-1,9.323021889E0,9.327802917E0
1.159614855E0,-9.576806426E-2,1.292868853E-1,9.600749016E0,9.602097077E0
1.169355377E0,-1.963245422E-1,1.484405100E-1,9.758766174E0,9.761869450E0
1.179233398E0,-1.340752989E-1,2.346317619E-1,9.883264542E0,9.886958392E0
1.189100795E0,-1.388636976E-1,2.059013397E-1,9.758766174E0,9.761925821E0
1.199069494E0,-1.675941199E-1,2.489969730E-1,9.437943459E0,9.442714864E0
