"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.436520964E-1,2.585737705E-1,9.830592155E0,9.835041355E0
9.031838000E-3,-1.580173075E-1,2.729389966E-1,9.672574997E0,9.677715238E0
1.874083800E-2,-2.059013397E-1,2.489969730E-1,9.773131371E0,9.778470823E0
2.807533800E-2,-2.011129409E-1,1.723825186E-1,9.916783333E0,9.920320248E0
3.834008800E-2,-1.675941199E-1,1.723825186E-1,9.888052940E0,9.890975406E0
4.786996300E-2,-1.388636976E-1,2.394201756E-1,9.864110947E0,9.867993206E0
5.762190000E-2,-8.140286058E-2,2.154781520E-1,9.701305389E0,9.704039546E0
6.750486900E-2,1.723825186E-1,1.149216816E-1,9.883264542E0,9.885435788E0
7.746735300E-2,2.920926213E-1,6.703764945E-2,1.008437729E1,1.008882934E1
8.742159500E-2,4.788403213E-2,1.771709323E-1,1.008916569E1,1.009083479E1
9.738771600E-2,-1.532289088E-1,1.915361285E-1,1.002691650E1,1.002991624E1
1.073877770E-1,-1.197100878E-1,1.292868853E-1,9.950302124E0,9.951862035E0
1.173953070E-1,-1.197100878E-1,1.053448766E-1,9.821015358E0,9.822309846E0
1.273940720E-1,-1.436521020E-2,1.197100878E-1,9.744400978E0,9.745146858E0
1.374069550E-1,-2.873042040E-2,1.101332754E-1,9.840168953E0,9.840827191E0
1.474103960E-1,-1.628057212E-1,4.788403213E-2,9.854534149E0,9.855995225E0
1.574171170E-1,-2.011129409E-1,6.703764945E-2,9.811438560E0,9.813728501E0
1.674269770E-1,-9.097966552E-2,1.149216816E-1,9.725247383E0,9.726351883E0
1.773994070E-1,1.101332754E-1,9.576806426E-2,9.801861763E0,9.802948275E0
1.873881220E-1,2.154781520E-1,3.351882473E-2,9.811438560E0,9.813861675E0
1.973824800E-1,2.106897533E-1,9.576806426E-2,9.734824181E0,9.737574828E0
2.073971590E-1,2.106897533E-1,6.224924326E-2,9.888052940E0,9.890493218E0
2.173949980E-1,1.244984865E-1,4.788403213E-2,1.004128170E1,1.004216764E1
2.273974180E-1,-2.394201607E-2,1.819593310E-1,1.017056847E1,1.017222421E1
2.374136280E-1,3.351882473E-2,2.106897533E-1,9.950302124E0,9.952588912E0
2.474667330E-1,7.182604820E-2,2.059013397E-1,9.844957352E0,9.847372218E0
2.574307850E-1,-8.619125932E-2,1.388636976E-1,9.911994934E0,9.913342304E0
2.674203110E-1,1.436521020E-2,7.182604820E-2,9.830592155E0,9.830865042E0
2.774060740E-1,-6.224924326E-2,1.484405100E-1,9.816226959E0,9.817546601E0
2.874219560E-1,4.788403399E-3,1.149216816E-1,9.701305389E0,9.701987228E0
2.974448970E-1,-1.915361360E-2,1.101332754E-1,9.849745750E0,9.850380071E0
3.074403670E-1,2.585737705E-1,3.830722719E-2,9.844957352E0,9.848426935E0
3.174001020E-1,3.878606856E-1,1.963245422E-1,9.749189377E0,9.758876613E0
3.274084700E-1,3.639186621E-1,2.777273953E-1,9.816226959E0,9.826895797E0
3.374241540E-1,1.340752989E-1,2.250549644E-1,9.816226959E0,9.819721872E0
3.474004960E-1,-5.746084079E-2,2.442085743E-1,9.835380554E0,9.838579685E0
3.585431670E-1,4.788403399E-3,1.580173075E-1,9.945513725E0,9.946770112E0
3.680430020E-1,1.867477298E-1,7.661445439E-2,9.892841339E0,9.894900416E0
3.777184200E-1,2.920926213E-1,2.394201607E-2,9.840168953E0,9.844532307E0
3.876791290E-1,8.619125932E-2,1.101332754E-1,9.878476143E0,9.879466037E0
3.975294830E-1,7.661445439E-2,1.101332754E-1,9.844957352E0,9.845871438E0
4.074896600E-1,-1.101332754E-1,1.723825186E-1,9.777919769E0,9.780059309E0
4.174432490E-1,-2.825157940E-1,2.633621991E-1,9.801861763E0,9.809468326E0
4.274495430E-1,-7.661445439E-2,1.244984865E-1,9.639056206E0,9.640164635E0
4.374046900E-1,7.182604820E-2,4.788403213E-2,9.595960617E0,9.596348890E0
4.482667640E-1,1.484405100E-1,2.394201607E-2,9.777919769E0,9.779075765E0
4.578423010E-1,1.675941199E-1,5.267243832E-2,9.859322548E0,9.860887550E0
4.676170690E-1,7.661445439E-2,9.097966552E-2,9.950302124E0,9.951012985E0
4.775039530E-1,-9.097966552E-2,2.394201756E-1,9.969455719E0,9.972745191E0
4.874553950E-1,-1.340752989E-1,2.633621991E-1,9.902418137E0,9.906826979E0
4.974371160E-1,-3.830722719E-2,1.723825186E-1,9.734824181E0,9.736425679E0
5.079799770E-1,-6.224924326E-2,2.154781520E-1,9.816226959E0,9.818789005E0
5.177194070E-1,-1.436521020E-2,1.149216816E-1,9.945513725E0,9.946188044E0
5.282016220E-1,2.059013397E-1,4.788403213E-2,1.010353088E1,1.010574216E1
5.381332300E-1,2.681505978E-1,2.873042040E-2,1.001733971E1,1.002096926E1
5.483000340E-1,2.346317619E-1,9.097966552E-2,9.945513725E0,9.948697031E0
5.581494360E-1,3.830722719E-2,1.628057212E-1,9.811438560E0,9.812863994E0
5.678166370E-1,-3.830722719E-2,1.436520964E-1,9.696516991E0,9.697656682E0
5.776167370E-1,-6.703764945E-2,1.292868853E-1,9.619902611E0,9.621004905E0
5.875062870E-1,-1.723825186E-1,2.106897533E-1,9.634267807E0,9.638112994E0
5.974650620E-1,-1.340752989E-1,1.819593310E-1,9.763554573E0,9.766170349E0
6.074289500E-1,1.436521020E-2,1.628057212E-1,9.883264542E0,9.884615828E0
6.174483940E-1,1.436521020E-2,2.011129409E-1,9.926360130E0,9.928407637E0
6.275751160E-1,-3.830722719E-2,2.154781520E-1,9.969455719E0,9.971857681E0
6.375439770E-1,8.140286058E-2,1.675941199E-1,9.773131371E0,9.774907212E0
6.474569070E-1,6.224924326E-2,2.011129409E-1,9.744400978E0,9.746674910E0
6.574358720E-1,-7.661445439E-2,1.915361285E-1,9.806650162E0,9.808819667E0
6.674063550E-1,-4.788403213E-2,8.619125932E-2,9.897629738E0,9.898120844E0
6.774010960E-1,-1.628057212E-1,1.292868853E-1,9.926360130E0,9.928536964E0
6.874609670E-1,-2.106897533E-1,1.819593310E-1,9.911994934E0,9.915903536E0
6.974239020E-1,-1.005564705E-1,2.298433632E-1,9.859322548E0,9.862513913E0
7.086178700E-1,1.197100878E-1,1.771709323E-1,9.792284966E0,9.794619180E0
7.180508540E-1,1.053448766E-1,2.011129409E-1,9.806650162E0,9.809277820E0
7.277128460E-1,3.351882473E-2,1.675941199E-1,9.945513725E0,9.946982184E0
7.375383420E-1,-4.309562966E-2,8.140286058E-2,9.777919769E0,9.778353577E0
7.474695900E-1,-5.267243832E-2,7.182604820E-2,9.758766174E0,9.759172640E0
7.585742140E-1,-1.628057212E-1,1.292868853E-1,9.787496567E0,9.789704278E0
7.680200260E-1,-1.628057212E-1,1.771709323E-1,9.777919769E0,9.780879830E0
7.777339320E-1,-1.580173075E-1,2.250549644E-1,9.806650162E0,9.810504911E0
7.881683850E-1,-1.292868853E-1,2.106897533E-1,9.911994934E0,9.915076845E0
7.977791110E-1,-1.867477298E-1,1.963245422E-1,9.993397713E0,9.997070365E0
8.076249740E-1,-1.771709323E-1,1.723825186E-1,9.926360130E0,9.929437583E0
8.174974060E-1,-4.788403213E-2,1.484405100E-1,9.868899345E0,9.870131800E0
8.274686220E-1,-5.267243832E-2,1.867477298E-1,9.888052940E0,9.889956524E0
8.393247300E-1,-4.788403213E-2,1.532289088E-1,9.782708168E0,9.784025300E0
8.483702840E-1,-4.788403213E-2,9.576806426E-2,9.686940193E0,9.687531920E0
8.585480610E-1,-9.576806426E-2,9.576806426E-2,9.710882187E0,9.711826599E0
8.679914490E-1,-3.687070608E-1,1.963245422E-1,9.821015358E0,9.829894754E0
8.797036430E-1,-2.059013397E-1,1.292868853E-1,9.907206535E0,9.910189292E0
8.974058380E-1,-2.011129409E-1,1.723825186E-1,9.998186111E0,1.000169424E1
9.078138380E-1,-1.101332754E-1,1.149216816E-1,1.007480049E1,1.007605782E1
9.174328380E-1,-9.576806799E-3,1.628057212E-1,9.950302124E0,9.951638547E0
9.273938380E-1,-1.484405100E-1,2.298433632E-1,9.821015358E0,9.824825964E0
9.400148380E-1,-1.915361285E-1,2.106897533E-1,9.739612579E0,9.743773882E0
9.532958380E-1,-1.197100878E-1,7.182604820E-2,9.787496567E0,9.788492148E0
9.673648380E-1,-1.771709323E-1,1.149216816E-1,9.797073364E0,9.799349113E0
9.791818380E-1,-1.149216816E-1,1.819593310E-1,9.734824181E0,9.737202782E0
9.879368380E-1,4.788403399E-3,1.532289088E-1,9.658209801E0,9.659426411E0
