"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.292868972E0,7.278373241E-1,8.643068314E0,8.769486144E0
1.006323100E-2,1.647210717E0,7.721300721E-1,8.532935143E0,8.724704588E0
2.035503800E-2,2.072181463E0,9.636662006E-1,8.949525833E0,9.236698609E0
3.026419200E-2,2.547430515E0,1.004367590E0,8.961497307E0,9.370517086E0
3.998130800E-2,2.662352324E0,1.027112484E0,8.583212852E0,9.045143604E0
5.021938400E-2,2.656366825E0,1.076193690E0,8.374917984E0,8.851764164E0
6.018653800E-2,2.735375404E0,1.027112484E0,8.408436775E0,8.901631741E0
7.022050000E-2,2.767697096E0,1.033097982E0,8.544905663E0,9.041175335E0
8.030176900E-2,2.798821688E0,1.047463298E0,8.768763542E0,9.264005411E0
9.005776900E-2,2.760514498E0,1.043871999E0,8.985439301E0,9.457707358E0
1.000831540E-1,2.621650934E0,1.070208192E0,9.133879662E0,9.562748395E0
1.100716150E-1,2.483984232E0,1.070208192E0,9.254786491E0,9.641918701E0
1.200363070E-1,2.451662540E0,1.090558887E0,9.348160744E0,9.725640194E0
1.301191150E-1,2.444479942E0,1.091755986E0,9.361329079E0,9.736626492E0
1.399495770E-1,2.324769735E0,1.140837073E0,9.412803650E0,9.762527137E0
1.500536540E-1,2.196680069E0,1.155202270E0,9.446322441E0,9.766929060E0
1.601342310E-1,2.175132275E0,1.128866076E0,9.388861656E0,9.703414978E0
1.702172690E-1,2.236184359E0,1.013944387E0,9.323021889E0,9.640920124E0
1.802021150E-1,2.370259762E0,9.193734527E-1,9.228450775E0,9.572234984E0
1.901155770E-1,2.369062662E0,8.906430602E-1,9.082404137E0,9.428455221E0
2.001431920E-1,2.363077164E0,9.504981041E-1,9.036913872E0,9.389003816E0
2.100128840E-1,2.303221941E0,1.005564690E0,9.147047997E0,9.486014901E0
2.204576150E-1,2.391807556E0,9.325415492E-1,9.306262016E0,9.653853627E0
2.299697690E-1,2.464830637E0,8.008604646E-1,9.361329079E0,9.713457143E0
2.400495000E-1,2.369062662E0,6.751648784E-1,9.295488358E0,9.616361542E0
2.502868460E-1,2.148796082E0,5.626373887E-1,9.218873978E0,9.482695969E0
2.600022690E-1,2.059013367E0,5.003881454E-1,9.130288124E0,9.372944338E0
2.701565000E-1,1.995567083E0,5.075707436E-1,9.082404137E0,9.312893264E0
2.801678840E-1,1.960851192E0,5.937620401E-1,9.063250542E0,9.291932046E0
2.900502690E-1,2.062604666E0,7.697358727E-1,9.070432663E0,9.333787014E0
2.999661540E-1,2.258929253E0,9.301473498E-1,9.056067467E0,9.379781097E0
3.101078460E-1,2.446874142E0,1.007958889E0,8.995016098E0,9.376219323E0
3.200355770E-1,2.646790028E0,9.325415492E-1,9.026140213E0,9.452319204E0
3.301703070E-1,2.806004286E0,8.714894056E-1,9.084798813E0,9.548126691E0
3.400703460E-1,2.736572504E0,9.277531505E-1,9.080010414E0,9.528701071E0
