"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.394201756E-1,8.140286058E-2,9.500192642E0,9.503557686E0
6.485869000E-3,-9.097966552E-2,-4.309562966E-2,9.356540680E0,9.357082239E0
1.640249400E-2,-1.101332754E-1,-1.101332754E-1,9.562441826E0,9.563710177E0
2.725830600E-2,-1.388636976E-1,-6.703764945E-2,9.696516991E0,9.697742981E0
3.682121200E-2,-2.777273953E-1,4.309562966E-2,9.792284966E0,9.796317399E0
4.655066500E-2,-6.943184733E-1,1.675941199E-1,9.931148529E0,9.956800542E0
5.640339200E-2,-1.010353088E0,2.202665508E-1,1.002691650E1,1.008009848E1
6.637175500E-2,-9.576807022E-1,2.202665508E-1,1.019929886E1,1.024652950E1
7.638293700E-2,-6.177040339E-1,1.675941199E-1,1.034774017E1,1.036751526E1
8.636602800E-2,-5.123591423E-1,7.182604820E-2,1.030464458E1,1.031762429E1
9.638107300E-2,-3.734954596E-1,7.182604820E-2,1.003170490E1,1.003891235E1
1.063475960E-1,-2.681505978E-1,4.788403399E-3,9.744400978E0,9.748090997E0
1.163543570E-1,-3.160346150E-1,-1.436520964E-1,9.667786598E0,9.674017341E0
1.263712380E-1,-3.687070608E-1,-1.484405100E-1,9.835380554E0,9.843408461E0
1.363521780E-1,-3.926490843E-1,-1.532289088E-1,9.878476143E0,9.887463947E0
1.463416480E-1,-5.410895944E-1,-1.340752989E-1,9.907206535E0,9.922877379E0
1.563228830E-1,-5.410895944E-1,-9.097966552E-2,9.825803757E0,9.841111457E0
1.663425010E-1,-5.219359994E-1,-1.101332754E-1,9.797073364E0,9.811584634E0
1.763863100E-1,-5.315127969E-1,-9.576806426E-2,9.864110947E0,9.878884661E0
1.863962140E-1,-5.506663918E-1,-8.140286058E-2,9.940725327E0,9.956298505E0
1.964346660E-1,-6.224924326E-1,-3.830722719E-2,9.897629738E0,9.917259637E0
2.063823920E-1,-4.357447028E-1,-9.097966552E-2,9.873687744E0,9.883716933E0
2.164157550E-1,-1.723825186E-1,-8.619125932E-2,9.859322548E0,9.861206101E0
2.264214370E-1,-1.244984865E-1,-5.267243832E-2,9.821015358E0,9.821945679E0
2.363632780E-1,-1.915361285E-1,-9.576806426E-2,9.768342972E0,9.770689946E0
2.463681980E-1,-2.633621991E-1,-1.484405100E-1,9.873687744E0,9.878314831E0
2.568066580E-1,-3.639186621E-1,-7.182604820E-2,1.003170490E1,1.003856061E1
2.665968880E-1,-3.447650373E-1,9.576806799E-3,1.002691650E1,1.003284652E1
2.770860030E-1,-3.782838583E-1,-3.351882473E-2,1.003649330E1,1.004367562E1
2.867575610E-1,-3.303998411E-1,-6.703764945E-2,1.003170490E1,1.003736825E1
2.965933400E-1,-3.399766386E-1,-5.746084079E-2,9.969455719E0,9.975416442E0
3.064897290E-1,-4.118026793E-1,-3.351882473E-2,9.983820915E0,9.992366338E0
3.163854240E-1,-3.830722570E-1,-2.873042040E-2,1.005564690E1,1.006298188E1
3.264107710E-1,-3.208230138E-1,-6.703764945E-2,9.979032516E0,9.984413424E0
3.364394450E-1,-2.346317619E-1,9.576806799E-3,9.854534149E0,9.857331641E0
3.464827820E-1,-1.580173075E-1,4.788403213E-2,9.844957352E0,9.846341839E0
3.567089500E-1,-2.154781520E-1,4.309562966E-2,9.768342972E0,9.770814320E0
3.665315340E-1,-2.202665508E-1,6.703764945E-2,9.615114212E0,9.617870487E0
3.764203260E-1,-2.489969730E-1,1.053448766E-1,9.662998199E0,9.666779776E0
3.863817220E-1,-3.830722570E-1,1.197100878E-1,9.883264542E0,9.891410054E0
3.963339200E-1,-4.022258818E-1,1.053448766E-1,1.004607010E1,1.005467094E1
4.063550190E-1,-3.974374831E-1,9.097966552E-2,1.002212811E1,1.003041802E1
4.163680690E-1,-5.985504389E-1,1.101332754E-1,9.993397713E0,1.001191240E1
4.263605940E-1,-6.129156351E-1,1.436520964E-1,9.801861763E0,9.822056583E0
4.364668560E-1,-3.064578176E-1,1.436520964E-1,9.528923035E0,9.534931910E0
4.465339870E-1,-8.619125932E-2,1.819593310E-1,9.576807022E0,9.578923263E0
4.564105530E-1,-5.746084079E-2,1.053448766E-1,9.763554573E0,9.764291945E0
4.664463360E-1,3.830722719E-2,1.005564705E-1,9.715670586E0,9.716266463E0
4.763572270E-1,1.101332754E-1,1.005564705E-1,9.591172218E0,9.592331597E0
4.863371730E-1,4.309562966E-2,1.675941199E-1,9.519346237E0,9.520918958E0
4.964101460E-1,-8.140286058E-2,1.292868853E-1,9.528923035E0,9.530147728E0
5.063966320E-1,-2.106897533E-1,5.746084079E-2,9.509769440E0,9.512276632E0
5.164083750E-1,-7.230489254E-1,1.484405100E-1,9.710882187E0,9.738894556E0
5.265207470E-1,-8.954314590E-1,3.160346150E-1,9.840168953E0,9.885878838E0
5.363999330E-1,-5.554547906E-1,2.729389966E-1,9.998186111E0,1.001732256E1
5.464030260E-1,-2.729389966E-1,2.106897533E-1,1.014662647E1,1.015248318E1
5.564950720E-1,-8.619125932E-2,1.628057212E-1,1.004128170E1,1.004297131E1
5.665910950E-1,-9.576806426E-2,2.202665508E-1,9.902418137E0,9.905330576E0
5.764486070E-1,-1.436521020E-2,2.489969730E-1,9.825803757E0,9.828968680E0
5.863688630E-1,-1.436521020E-2,1.628057212E-1,9.720458984E0,9.721832900E0
5.963864910E-1,-5.267243832E-2,1.484405100E-1,9.672574997E0,9.673857351E0
6.066833050E-1,-1.292868853E-1,1.580173075E-1,9.706093788E0,9.708240891E0
6.165042120E-1,-2.777273953E-1,2.059013397E-1,9.844957352E0,9.851025993E0
6.264291650E-1,-3.351882398E-1,2.442085743E-1,9.854534149E0,9.863256677E0
6.364631420E-1,-3.351882398E-1,2.202665508E-1,9.897629738E0,9.905753022E0
6.464091300E-1,-2.537853718E-1,1.915361285E-1,9.859322548E0,9.864447993E0
6.566076240E-1,-2.442085743E-1,1.101332754E-1,9.907206535E0,9.910827841E0
6.664428710E-1,-2.154781520E-1,1.532289088E-1,9.787496567E0,9.791067305E0
6.763964950E-1,-1.963245422E-1,1.867477298E-1,9.787496567E0,9.791246452E0
6.863673070E-1,-2.154781520E-1,2.011129409E-1,9.878476143E0,9.882872465E0
6.963517130E-1,-1.819593310E-1,1.532289088E-1,1.004128170E1,1.004409909E1
7.063434160E-1,-9.576806426E-2,1.484405100E-1,9.988609314E0,9.990171277E0
7.164522670E-1,-1.388636976E-1,1.388636976E-1,9.921571732E0,9.923515097E0
7.264651930E-1,-3.974374831E-1,1.628057212E-1,9.878476143E0,9.887808309E0
7.364541560E-1,-4.644751251E-1,1.340752989E-1,9.806650162E0,9.818558994E0
