"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.259080000E-3,4.357447028E-1,2.011129409E-1,9.926360130E0,9.937954784E0
1.716958000E-2,3.591302633E-1,1.963245422E-1,1.000297451E1,1.001134441E1
2.710933000E-2,3.495534360E-1,3.112462163E-1,9.926360130E0,9.937388351E0
3.711620500E-2,3.591302633E-1,3.878606856E-1,9.844957352E0,9.859137676E0
4.716114200E-2,1.197100878E-1,1.963245422E-1,9.787496567E0,9.790197285E0
5.717261100E-2,1.388636976E-1,1.867477298E-1,9.773131371E0,9.775901730E0
6.715134500E-2,4.453215301E-1,2.537853718E-1,9.935936928E0,9.949148753E0
7.717771200E-2,5.698199868E-1,1.915361285E-1,9.801861763E0,9.820278760E0
8.729289600E-2,4.501099288E-1,2.154781520E-1,9.567230225E0,9.580236112E0
9.776348800E-2,3.543418646E-1,2.442085743E-1,9.543288231E0,9.552986247E0
1.075757840E-1,2.633621991E-1,2.633621991E-1,9.907206535E0,9.914204992E0
1.174819320E-1,3.543418646E-1,3.208230138E-1,1.024718285E1,1.025832549E1
1.274110060E-1,1.963245422E-1,2.011129409E-1,1.024239445E1,1.024624974E1
1.374145430E-1,1.149216816E-1,2.633621991E-1,1.010831928E1,1.011240255E1
1.474028110E-1,4.788403399E-3,3.399766386E-1,1.007001209E1,1.007575062E1
1.573934450E-1,-3.830722719E-2,2.920926213E-1,9.883264542E0,9.887654097E0
1.674177620E-1,3.830722719E-2,2.442085743E-1,9.734824181E0,9.737962164E0
1.772629210E-1,5.267243832E-2,1.628057212E-1,9.409213066E0,9.410768864E0
1.873580000E-1,1.436521020E-2,1.867477298E-1,9.495404243E0,9.497251330E0
1.974005400E-1,3.303998411E-1,2.442085743E-1,9.777919769E0,9.786547752E0
2.073993100E-1,2.537853718E-1,3.447650373E-1,9.955090523E0,9.964291107E0
2.173591950E-1,1.675941199E-1,2.442085743E-1,9.955090523E0,9.959495616E0
2.274006370E-1,1.771709323E-1,1.915361285E-1,9.955090523E0,9.958509072E0
2.374043580E-1,1.867477298E-1,7.661445439E-2,9.883264542E0,9.885325614E0
2.473827190E-1,9.576806426E-2,2.873042040E-2,9.648633003E0,9.649151040E0
2.573938990E-1,-4.788403213E-2,1.005564705E-1,9.567230225E0,9.567878482E0
2.673954890E-1,-7.661445439E-2,2.920926213E-1,9.634267807E0,9.638999121E0
2.773772840E-1,2.394201607E-2,3.447650373E-1,9.672574997E0,9.678746986E0
2.873761820E-1,2.346317619E-1,3.351882398E-1,9.639056206E0,9.647735888E0
2.973646310E-1,1.197100878E-1,3.208230138E-1,9.739612579E0,9.745630360E0
3.073863550E-1,-1.149216816E-1,2.202665508E-1,9.993397713E0,9.996485492E0
3.173762170E-1,9.097966552E-2,1.005564705E-1,1.013226128E1,1.013316868E1
3.273331480E-1,1.819593310E-1,5.746084079E-2,1.025197124E1,1.025374689E1
3.372176140E-1,1.628057212E-1,1.388636976E-1,1.018014526E1,1.018239394E1
3.473713470E-1,6.703764945E-2,2.394201756E-1,9.983820915E0,9.986916247E0
3.573277130E-1,1.628057212E-1,2.729389966E-1,9.787496567E0,9.792654923E0
3.673088960E-1,3.830722719E-2,2.920926213E-1,9.667786598E0,9.672273944E0
3.772154880E-1,-5.267243832E-2,2.633621991E-1,9.706093788E0,9.709808992E0
3.871892840E-1,-6.224924326E-2,2.729389966E-1,9.710882187E0,9.714916547E0
3.972136820E-1,2.394201607E-2,2.537853718E-1,9.667786598E0,9.671146672E0
4.071738810E-1,8.140286058E-2,2.154781520E-1,9.648633003E0,9.651382082E0
4.171664800E-1,3.351882473E-2,3.112462163E-1,9.768342972E0,9.773357772E0
4.271327800E-1,-1.436520964E-1,3.591302633E-1,9.878476143E0,9.886045791E0
4.371254300E-1,-2.250549644E-1,3.591302633E-1,9.868899345E0,9.877995676E0
4.471597550E-1,-2.202665508E-1,3.160346150E-1,9.864110947E0,9.871630058E0
4.571634170E-1,1.053448766E-1,2.825157940E-1,9.892841339E0,9.897435146E0
4.672032480E-1,2.346317619E-1,3.591302633E-1,9.835380554E0,9.844731447E0
4.773531640E-1,9.097966552E-2,4.022258818E-1,9.691728592E0,9.700498238E0
4.875966220E-1,-4.788403213E-2,3.256114423E-1,9.605537415E0,9.611173951E0
4.979528510E-1,1.436521020E-2,2.777273953E-1,9.524134636E0,9.528193923E0
5.077924650E-1,2.394201756E-1,3.016694188E-1,9.682151794E0,9.689808555E0
5.174482720E-1,2.729389966E-1,3.208230138E-1,9.873687744E0,9.882668302E0
5.272846760E-1,1.005564705E-1,3.351882398E-1,9.926360130E0,9.932526778E0
5.372613780E-1,1.388636976E-1,2.968810201E-1,9.892841339E0,9.898269103E0
5.472602290E-1,2.394201607E-2,2.920926213E-1,9.883264542E0,9.887608878E0
5.572366540E-1,-6.703764945E-2,3.256114423E-1,9.840168953E0,9.845782949E0
5.672333670E-1,-1.388636976E-1,3.687070608E-1,9.629479408E0,9.637536080E0
5.771982230E-1,-9.576806799E-3,3.591302633E-1,9.495404243E0,9.502198062E0
5.871981510E-1,1.532289088E-1,3.112462163E-1,9.533711433E0,9.540021331E0
5.972621150E-1,1.771709323E-1,3.399766386E-1,9.720458984E0,9.728016063E0
6.073055970E-1,1.244984865E-1,2.537853718E-1,9.773131371E0,9.777218606E0
6.172088380E-1,1.005564705E-1,2.729389966E-1,9.854534149E0,9.858826025E0
6.271654590E-1,-4.788403399E-3,2.825157940E-1,9.955090523E0,9.959099629E0
6.371362690E-1,2.394201607E-2,3.064578176E-1,1.012268448E1,1.012735062E1
6.470951740E-1,2.777273953E-1,2.106897533E-1,1.014662647E1,1.015261304E1
6.571056270E-1,2.681505978E-1,2.729389966E-1,9.892841339E0,9.900237886E0
6.671248530E-1,-9.576806799E-3,3.447650373E-1,9.720458984E0,9.726575837E0
6.770889660E-1,-8.140286058E-2,3.016694188E-1,9.624691010E0,9.629761570E0
6.871565230E-1,1.915361360E-2,3.016694188E-1,9.610325813E0,9.615078447E0
6.975958010E-1,1.915361360E-2,3.351882398E-1,9.648633003E0,9.654472375E0
7.073944400E-1,1.101332754E-1,2.681505978E-1,9.782708168E0,9.787002257E0
7.172402600E-1,1.963245422E-1,2.394201756E-1,9.873687744E0,9.878541138E0
7.271606700E-1,3.160346150E-1,2.250549644E-1,1.002691650E1,1.003441987E1
7.372433750E-1,1.005564705E-1,2.681505978E-1,1.009395409E1,1.009801592E1
7.472082270E-1,-9.576806799E-3,2.920926213E-1,9.911994934E0,9.916302405E0
7.571681530E-1,5.267243832E-2,2.537853718E-1,9.749189377E0,9.752634255E0
