"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.886719000E-3,3.830722719E-2,3.351882398E-1,9.447520256E0,9.453542066E0
1.688646000E-2,-1.149216816E-1,3.160346150E-1,9.184157372E0,9.190311828E0
2.642984600E-2,-1.819593310E-1,2.825157940E-1,9.198522568E0,9.204658701E0
3.627156600E-2,-9.097966552E-2,2.442085743E-1,9.169792175E0,9.173494627E0
4.636672300E-2,1.005564705E-1,2.298433632E-1,9.370905876E0,9.374263519E0
5.602120300E-2,2.442085743E-1,2.298433632E-1,9.840168953E0,9.845881922E0
6.600063100E-2,2.729389966E-1,2.394201756E-1,9.576807022E0,9.583686684E0
7.591229900E-2,3.351882473E-2,2.777273953E-1,9.327810287E0,9.332004114E0
8.576563300E-2,-2.154781520E-1,2.154781520E-1,9.255983353E0,9.260998299E0
9.578792600E-2,-1.197100878E-1,2.059013397E-1,9.212887764E0,9.215965865E0
1.053811560E-1,-1.484405100E-1,2.920926213E-1,9.208099365E0,9.213926774E0
1.152464170E-1,-2.394201607E-2,3.016694188E-1,9.476250648E0,9.481081374E0
1.251119910E-1,1.436520964E-1,2.873041928E-1,9.490615845E0,9.496050165E0
1.349786590E-1,1.101332754E-1,3.016694188E-1,9.581595421E0,9.586975779E0
1.448470970E-1,2.011129409E-1,2.442085743E-1,9.471462250E0,9.476744240E0
1.547314730E-1,2.298433632E-1,2.346317619E-1,9.821015358E0,9.826506129E0
1.647081410E-1,1.244984865E-1,2.537853718E-1,9.734824181E0,9.738927493E0
1.745700690E-1,1.388636976E-1,3.734954596E-1,9.667786598E0,9.675995023E0
1.844461120E-1,2.011129409E-1,2.585737705E-1,9.662998199E0,9.668549064E0
1.959798110E-1,6.224924326E-2,2.489969730E-1,9.586383820E0,9.589819039E0
2.042864780E-1,-1.292868853E-1,1.628057212E-1,9.792284966E0,9.794491597E0
2.141950730E-1,-2.537853718E-1,1.580173075E-1,9.610325813E0,9.614974713E0
2.240589280E-1,-2.394201756E-1,1.963245422E-1,9.543288231E0,9.548309568E0
2.339473670E-1,-9.097966552E-2,1.628057212E-1,9.744400978E0,9.746185583E0
2.436624200E-1,-1.819593310E-1,2.489969730E-1,9.974244118E0,9.979010693E0
2.534310660E-1,-1.915361360E-2,2.250549644E-1,1.011789608E1,1.012041687E1
2.633013280E-1,-1.915361360E-2,3.064578176E-1,1.007001209E1,1.007469239E1
2.732751310E-1,-5.746084079E-2,3.064578176E-1,1.004128170E1,1.004612146E1
2.833088300E-1,-7.182604820E-2,2.729389966E-1,9.878476143E0,9.882507049E0
2.931680500E-1,-4.309562966E-2,2.298433632E-1,9.787496567E0,9.790289794E0
3.034627380E-1,-2.873042040E-2,2.825157940E-1,9.677363396E0,9.681528955E0
3.133530520E-1,-9.576806426E-2,3.064578176E-1,9.701305389E0,9.706617030E0
3.225141460E-1,-1.484405100E-1,2.106897533E-1,9.730035782E0,9.733448570E0
3.326504490E-1,-2.394201756E-1,1.388636976E-1,9.787496567E0,9.791409204E0
3.422536270E-1,-3.160346150E-1,1.628057212E-1,9.763554573E0,9.770024641E0
3.521190970E-1,-3.064578176E-1,2.154781520E-1,9.672574997E0,9.679827183E0
3.620411290E-1,-1.963245422E-1,1.771709323E-1,9.686940193E0,9.690549168E0
3.718609220E-1,-3.016694188E-1,2.298433632E-1,9.624691010E0,9.632160165E0
3.818580060E-1,-2.537853718E-1,2.106897533E-1,9.710882187E0,9.716482390E0
3.917411840E-1,-2.681505978E-1,1.149216816E-1,1.000297451E1,1.000722793E1
4.015974870E-1,-1.819593310E-1,9.576806426E-2,1.004607010E1,1.004817422E1
4.115174360E-1,-1.867477298E-1,2.489969730E-1,9.964667320E0,9.969527020E0
4.212141560E-1,-3.016694188E-1,3.782838583E-1,9.777919769E0,9.789883458E0
4.311996260E-1,-2.489969730E-1,3.687070608E-1,9.437943459E0,9.448424266E0
4.409474390E-1,-3.734954596E-1,4.644751251E-1,9.165003777E0,9.184363354E0
4.508373880E-1,-3.064578176E-1,2.489969730E-1,9.165003777E0,9.173505879E0
4.606947330E-1,-2.059013397E-1,1.388636976E-1,9.433155060E0,9.436423733E0
4.706741610E-1,-1.005564705E-1,9.576806426E-2,9.572018623E0,9.573025836E0
4.805541620E-1,-2.394201607E-2,9.097966552E-2,9.897629738E0,9.898076831E0
4.905056730E-1,1.005564705E-1,1.675941199E-1,9.883264542E0,9.885196882E0
5.001893720E-1,-9.576806426E-2,1.819593310E-1,9.825803757E0,9.827955036E0
5.100359360E-1,-3.016694188E-1,2.346317619E-1,9.911994934E0,9.919359862E0
5.200670300E-1,-1.867477298E-1,3.064578176E-1,9.744400978E0,9.751007206E0
5.299557690E-1,-1.436521020E-2,3.351882398E-1,9.605537415E0,9.611394620E0
5.399064600E-1,1.005564705E-1,4.022258818E-1,9.710882187E0,9.719728911E0
5.496365130E-1,1.628057212E-1,4.548983276E-1,9.768342972E0,9.780284383E0
5.595362010E-1,7.182604820E-2,3.830722570E-1,9.801861763E0,9.809607401E0
5.693867230E-1,-2.585737705E-1,2.633621991E-1,9.744400978E0,9.751388130E0
5.791476610E-1,-4.932055473E-1,1.628057212E-1,9.567230225E0,9.581317842E0
5.890299540E-1,-4.932055473E-1,3.351882473E-2,9.509769440E0,9.522609412E0
5.989870380E-1,-3.208230138E-1,9.097966552E-2,9.600749016E0,9.606538730E0
6.087494350E-1,-1.532289088E-1,1.053448766E-1,9.864110947E0,9.865863440E0
6.187441240E-1,-1.532289088E-1,2.059013397E-1,9.931148529E0,9.934464533E0
6.286273020E-1,-4.309562966E-2,2.298433632E-1,9.902418137E0,9.905178956E0
6.383557400E-1,3.351882473E-2,1.963245422E-1,9.768342972E0,9.770373138E0
6.483547000E-1,0.000000000E0,2.489969730E-1,9.548076630E0,9.551322778E0
6.580895960E-1,-1.867477298E-1,2.777273953E-1,9.466673851E0,9.472587874E0
