"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.591723442E0,2.237381458E0,9.040505409E0,9.667142507E0
1.007034600E-2,2.509123325E0,2.175132275E0,9.180566788E0,9.762669042E0
2.012380700E-2,2.144007683E0,2.148796082E0,9.131484985E0,9.622791257E0
3.007657700E-2,1.951274395E0,2.187103271E0,9.185355186E0,9.641661806E0
4.016307700E-2,1.880645394E0,2.209848166E0,9.161413193E0,9.609981670E0
5.005842300E-2,1.887827992E0,2.240972757E0,9.199720383E0,9.655087185E0
6.007461500E-2,1.960851192E0,2.195482969E0,9.154230118E0,9.615872915E0
7.021500000E-2,2.049436569E0,2.031480074E0,9.059659004E0,9.508129302E0
8.008619200E-2,2.115277290E0,1.787271619E0,9.006986618E0,9.423085789E0
9.007303800E-2,2.120065689E0,1.607706428E0,8.918401718E0,9.306840908E0
9.997915300E-2,2.123656988E0,1.513135433E0,8.737639427E0,9.118434109E0
1.101743460E-1,2.159569979E0,1.377863050E0,8.716091156E0,9.084739628E0
1.200566150E-1,2.159569979E0,1.100135684E0,8.364143372E0,8.708210801E0
1.300285000E-1,2.481590033E0,8.068459630E-1,7.627926826E0,8.061920191E0
1.400706150E-1,2.675520420E0,2.537853718E-1,6.860584736E0,7.368204629E0
1.500764230E-1,2.689885616E0,-5.374982953E-1,5.779603004E0,6.397515138E0
1.600674230E-1,1.570596337E0,-3.088520169E-1,3.439270735E0,3.793513623E0
1.700139610E-1,6.596025825E-1,-8.738835901E-2,1.734599113E0,1.857833786E0
1.803643840E-1,2.023100406E-1,2.753331885E-2,8.702923059E-1,8.939217717E-1
1.901035380E-1,-2.633621916E-2,9.097966552E-2,4.177882075E-1,4.283898719E-1
2.001898840E-1,-1.484405100E-1,1.173158810E-1,1.975216419E-1,2.735185550E-1
2.103073070E-1,-1.939303428E-1,1.388636976E-1,9.217676520E-2,2.557120655E-1
2.200270000E-1,-2.226607651E-1,1.460463107E-1,5.985504389E-2,2.729285024E-1
2.301820760E-1,-2.406172752E-1,1.424549967E-1,3.232172132E-2,2.814867544E-1
2.401042300E-1,-2.525882721E-1,1.532289088E-1,2.753331885E-2,2.967120108E-1
2.500633070E-1,-2.609679997E-1,1.484405100E-1,3.112462163E-2,3.018403948E-1
2.603020000E-1,-2.633621991E-1,1.460463107E-1,3.711012751E-2,3.034243469E-1
2.704143070E-1,-2.693476975E-1,1.580173075E-1,4.548983276E-2,3.155740428E-1
2.800683840E-1,-2.729389966E-1,1.496376097E-1,5.865794048E-2,3.167457404E-1
2.901525380E-1,-2.777273953E-1,1.675941199E-1,8.140286058E-2,3.344349277E-1
2.999846920E-1,-2.669534981E-1,1.747767180E-1,1.017535701E-1,3.349102273E-1
3.100509990E-1,-2.609679997E-1,1.675941199E-1,1.041477770E-1,3.271679161E-1
3.199958840E-1,-2.681505978E-1,1.592144072E-1,1.233013868E-1,3.353463919E-1
3.302599610E-1,-2.657563984E-1,1.640028208E-1,1.400607973E-1,3.422578202E-1
3.401311920E-1,-2.717418969E-1,1.628057212E-1,1.640028208E-1,3.567159747E-1
3.501604230E-1,-2.573766708E-1,1.628057212E-1,1.819593310E-1,3.547642199E-1
3.600730380E-1,-2.609679997E-1,1.759738177E-1,1.963245422E-1,3.709641590E-1
3.701716920E-1,-2.693476975E-1,1.771709323E-1,2.059013397E-1,3.825350743E-1
3.800754610E-1,-2.777273953E-1,1.771709323E-1,2.298433632E-1,4.016839765E-1
3.900201530E-1,-2.717418969E-1,1.783680320E-1,2.298433632E-1,3.981039876E-1
4.000574230E-1,-2.633621991E-1,1.759738177E-1,2.322375625E-1,3.927603823E-1
4.103338070E-1,-2.597708702E-1,1.675941199E-1,2.430114746E-1,3.932216561E-1
4.200235760E-1,-2.561795712E-1,1.759738177E-1,2.501940727E-1,3.989885101E-1
4.302347690E-1,-2.585737705E-1,1.819593310E-1,2.525882721E-1,4.046855917E-1
4.401853070E-1,-2.609679997E-1,1.771709323E-1,2.501940727E-1,4.026051541E-1
4.500937300E-1,-2.645592988E-1,1.795651317E-1,2.489969730E-1,4.052588699E-1
4.600000760E-1,-2.573766708E-1,1.759738177E-1,2.442085743E-1,3.960395977E-1
4.700144220E-1,-2.693476975E-1,1.819593310E-1,2.549824715E-1,4.131264226E-1
4.801640760E-1,-2.777273953E-1,1.915361285E-1,2.501940727E-1,4.200186527E-1
4.901330380E-1,-2.801215947E-1,1.807622313E-1,2.346317619E-1,4.076704009E-1
5.000923840E-1,-2.837128937E-1,1.855506301E-1,2.489969730E-1,4.206204167E-1
5.102833460E-1,-2.705447972E-1,1.999158412E-1,2.657563984E-1,4.287042036E-1
5.201463840E-1,-2.789244950E-1,1.963245422E-1,2.597708702E-1,4.287459676E-1
5.300881150E-1,-2.908954918E-1,2.011129409E-1,2.825157940E-1,4.526386816E-1
5.401316150E-1,-3.088520169E-1,1.867477298E-1,2.861070931E-1,4.605665551E-1
5.502782300E-1,-3.220201433E-1,1.747767180E-1,2.861070931E-1,4.648668009E-1
5.600968450E-1,-3.292027414E-1,1.867477298E-1,2.920926213E-1,4.780870830E-1
5.700754220E-1,-3.244143426E-1,1.771709323E-1,3.100491166E-1,4.824568993E-1
5.800642300E-1,-3.363853395E-1,1.687912196E-1,3.124433160E-1,4.891486463E-1
5.902924610E-1,-3.399766386E-1,1.663970202E-1,3.040636182E-1,4.855170100E-1
6.000496530E-1,-3.483563364E-1,1.771709323E-1,3.016694188E-1,4.937065065E-1
6.101483450E-1,-3.711012602E-1,1.711854190E-1,3.136404157E-1,5.151610460E-1
6.203591150E-1,-3.770867586E-1,1.592144072E-1,3.208230138E-1,5.200683197E-1
6.303245380E-1,-3.938461840E-1,1.580173075E-1,3.184288144E-1,5.305480148E-1
6.400769220E-1,-4.046200812E-1,1.448491961E-1,3.471592367E-1,5.524655965E-1
6.502331530E-1,-4.129997790E-1,1.376665980E-1,3.555389643E-1,5.620754974E-1
6.601017300E-1,-4.285621047E-1,1.316810995E-1,3.483563364E-1,5.677653799E-1
6.701800380E-1,-4.345476031E-1,1.221042871E-1,3.675099611E-1,5.820692810E-1
6.800454990E-1,-4.477157295E-1,1.125274822E-1,3.830722570E-1,5.998801237E-1
6.902575760E-1,-4.608838260E-1,9.935937077E-2,4.022258818E-1,6.197353029E-1
7.001496150E-1,-6.667851806E-1,-3.530250311E0,-8.461109161E0,9.192259677E0
7.102146920E-1,-1.994489670E1,-1.792538834E1,3.462015629E0,2.703893496E1
7.203634610E-1,9.607931137E0,1.064821243E1,2.131078911E1,2.568747752E1
7.301628070E-1,2.438374710E1,1.260786629E1,2.182674026E1,3.507038645E1
7.400733450E-1,1.613931274E1,7.323863029E0,8.208520889E0,1.953192773E1
7.500227680E-1,8.305485725E0,4.083311081E0,3.892971992E0,1.004040604E1
7.600344220E-1,4.375403404E0,2.383427858E0,1.782483220E0,5.291703859E0
7.700206910E-1,2.434903145E0,1.501164436E0,7.026981711E-1,2.945510602E0
